"advertiser_id","marketplace_id","dataset_id","idempotency_id","multi_touch_units_sold_30d","purchases_14d_same_sku","multi_touch_sales_1d","attributed_sales_1d_same_sku","attributed_conversions_1d","attributed_sales_1d","attributed_conversions_7d","attributed_conversions_14d_same_sku","units_sold_7d","multi_touch_sales_7d","multi_touch_units_sold_7d_same_sku","purchases_7d","multi_touch_units_sold_7d","attributed_conversions_14d","time_window_start","attributed_sales_7d","attributed_conversions_30d","multi_touch_sales_1d_same_sku","units_sold_1d","purchases_30d","attributed_units_ordered_14d_same_sku","attributed_units_ordered_30d","multi_touch_sales_14d","multi_touch_sales_14d_same_sku","multi_touch_purchases_1d_same_sku","sales_1d_same_sku","units_sold_30d_same_sku","purchases_7d_same_sku","attributed_sales_7d_same_sku","attributed_units_ordered_14d","multi_touch_purchases_14d","multi_touch_units_sold_30d_same_sku","multi_touch_purchases_30d_same_sku","multi_touch_units_sold_1d_same_sku","multi_touch_units_sold_14d_same_sku","units_sold_30d","multi_touch_purchases_7d","sales_14d_same_sku","purchases_14d","attributed_units_ordered_7d","attributed_units_ordered_7d_same_sku","attributed_conversions_30d_same_sku","ad_group_id","multi_touch_purchases_1d","sales_30d","placement","multi_touch_sales_30d","multi_touch_units_sold_1d","multi_touch_purchases_14d_same_sku","attributed_units_ordered_1d","sales_7d","sales_14d","units_sold_7d_same_sku","purchases_1d_same_sku","attributed_sales_30d","attributed_units_ordered_30d_same_sku","multi_touch_units_sold_14d","units_sold_14d_same_sku","attributed_units_ordered_1d_same_sku","currency","units_sold_14d","sales_7d_same_sku","ad_id","purchases_1d","attributed_conversions_1d_same_sku","sales_1d","attributed_sales_14d","multi_touch_sales_30d_same_sku","purchases_30d_same_sku","attributed_conversions_7d_same_sku","units_sold_1d_same_sku","attributed_sales_30d_same_sku","campaign_id","multi_touch_sales_7d_same_sku","sales_30d_same_sku","keyword_id","multi_touch_purchases_7d_same_sku","multi_touch_purchases_30d","attributed_sales_14d_same_sku","partition_0","year","month","day","hour"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","246499d5-9e31-382c-a488-9196d44519f0","0.0","1","0.0","19.99","1","19.99","1","1","1","0.0","0.0","1","0.0","1","2025-03-10T15:00:00-07:00","19.99","1","0.0","1","1","1","1","0.0","0.0","0.0","19.99","1","1","19.99","1","0.0","0.0","0.0","0.0","0.0","1","0.0","19.99","1","1","1","1","336461794962230","0.0","19.99","Top of Search on-Amazon","0.0","0.0","0.0","1","19.99","19.99","1","1","19.99","1","0.0","1","1","USD","1","19.99","458621477424191","1","1","19.99","19.99","0.0","1","1","1","19.99","371853015773578","0.0","19.99","335529496446247","0.0","0.0","19.99","SpConversionFirehoseNA","2025","03","11","00"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","2a479476-9b93-3c6f-a0c4-a05ac13642f8","0.0","0","0.0","0.0","1","34.95","1","0","1","0.0","0.0","1","0.0","1","2025-03-10T02:00:00-07:00","34.95","1","0.0","1","1","0","1","0.0","0.0","0.0","0.0","0","0","0.0","1","0.0","0.0","0.0","0.0","0.0","1","0.0","0.0","1","1","0","0","341529632093185","0.0","34.95","Top of Search on-Amazon","0.0","0.0","0.0","1","34.95","34.95","0","0","34.95","0","0.0","0","0","USD","1","0.0","366430138838058","1","0","34.95","34.95","0.0","0","0","0","0.0","446297449266554","0.0","0.0","292027730537488","0.0","0.0","0.0","SpConversionFirehoseNA","2025","03","10","11"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","241e3871-893a-3c08-bbee-bc89eaa8eabf","0.0","0","0.0","0.0","1","190.0","1","0","1","0.0","0.0","1","0.0","1","2025-03-10T12:00:00-07:00","190.0","1","0.0","1","1","0","1","0.0","0.0","0.0","0.0","0","0","0.0","1","0.0","0.0","0.0","0.0","0.0","1","0.0","0.0","1","1","0","0","301573433164879","0.0","190.0","Other on-Amazon","0.0","0.0","0.0","1","190.0","190.0","0","0","190.0","0","0.0","0","0","USD","1","0.0","393327266818017","1","0","190.0","190.0","0.0","0","0","0","0.0","510862601302915","0.0","0.0","386361159567188","0.0","0.0","0.0","SpConversionFirehoseNA","2025","03","10","21"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","24ced193-851e-367c-8c7c-ba1e02ed4c42","0.0","0","0.0","0.0","1","190.0","1","0","1","0.0","0.0","1","0.0","1","2025-03-10T09:00:00-07:00","190.0","1","0.0","1","1","0","1","0.0","0.0","0.0","0.0","0","0","0.0","1","0.0","0.0","0.0","0.0","0.0","1","0.0","0.0","1","1","0","0","301573433164879","0.0","190.0","Other on-Amazon","0.0","0.0","0.0","1","190.0","190.0","0","0","190.0","0","0.0","0","0","USD","1","0.0","393327266818017","1","0","190.0","190.0","0.0","0","0","0","0.0","510862601302915","0.0","0.0","386361159567188","0.0","0.0","0.0","SpConversionFirehoseNA","2025","03","10","17"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","2bda872f-11b5-3cba-be4c-8875b26b0c54","0.0","1","0.0","19.99","1","19.99","1","1","1","0.0","0.0","1","0.0","1","2025-03-10T06:00:00-07:00","19.99","1","0.0","1","1","1","1","0.0","0.0","0.0","19.99","1","1","19.99","1","0.0","0.0","0.0","0.0","0.0","1","0.0","19.99","1","1","1","1","336461794962230","0.0","19.99","Other on-Amazon","0.0","0.0","0.0","1","19.99","19.99","1","1","19.99","1","0.0","1","1","USD","1","19.99","349750854587294","1","1","19.99","19.99","0.0","1","1","1","19.99","371853015773578","0.0","19.99","406100003411404","0.0","0.0","19.99","SpConversionFirehoseNA","2025","03","10","14"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","2f404326-d2b7-34bf-9568-1291a2060e91","0.0","2","0.0","0.0","0","0.0","0","2","0","0.0","0.0","0","0.0","5","2025-03-10T12:00:00-07:00","0.0","5","0.0","0","5","2","8","0.0","0.0","0.0","0.0","2","0","0.0","8","0.0","0.0","0.0","0.0","0.0","8","0.0","72.18","5","0","0","2","436938301127453","0.0","288.72","Other on-Amazon","0.0","0.0","0.0","0","0.0","288.72","0","0","288.72","2","0.0","2","0","USD","8","0.0","562125943078505","0","0","0.0","288.72","0.0","2","0","0","72.18","347368868613283","0.0","72.18","517053088679972","0.0","0.0","72.18","SpConversionFirehoseNA","2025","03","19","17"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","28d2b5d7-71c2-35e8-97f7-7d8da7bf9c39","0.0","1","0.0","0.0","0","0.0","0","1","0","0.0","0.0","0","0.0","2","2025-03-10T12:00:00-07:00","0.0","2","0.0","0","2","1","2","0.0","0.0","0.0","0.0","1","0","0.0","2","0.0","0.0","0.0","0.0","0.0","2","0.0","190.0","2","0","0","1","301573433164879","0.0","380.0","Top of Search on-Amazon","0.0","0.0","0.0","0","0.0","380.0","0","0","380.0","1","0.0","1","0","USD","2","0.0","393327266818017","0","0","0.0","380.0","0.0","1","0","0","190.0","510862601302915","0.0","190.0","341826772979615","0.0","0.0","190.0","SpConversionFirehoseNA","2025","03","18","01"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","200c5ad5-c004-3a10-adb7-d33ef54070c2","0.0","-1","0.0","-37.99","-1","-37.99","-1","-1","-1","0.0","0.0","-1","0.0","-1","2025-03-10T13:00:00-07:00","-37.99","-1","0.0","-1","-1","-1","-1","0.0","0.0","0.0","-37.99","-1","-1","-37.99","-1","0.0","0.0","0.0","0.0","0.0","-1","0.0","-37.99","-1","-1","-1","-1","381519055180417","0.0","-37.99","Top of Search on-Amazon","0.0","0.0","0.0","-1","-37.99","-37.99","-1","-1","-37.99","-1","0.0","-1","-1","USD","-1","-37.99","496499737745917","-1","-1","-37.99","-37.99","0.0","-1","-1","-1","-37.99","350562152603408","0.0","-37.99","467261433385613","0.0","0.0","-37.99","SpConversionFirehoseNA","2025","03","18","01"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","78202f0f-d432-3b20-b5ca-4ebf56dd49ec","0.0","0","0.0","0.0","-1","-21.99","-1","0","-1","0.0","0.0","-1","0.0","-1","2025-03-10T07:00:00-07:00","-21.99","-1","0.0","-1","-1","0","-1","0.0","0.0","0.0","0.0","0","0","0.0","-1","0.0","0.0","0.0","0.0","0.0","-1","0.0","0.0","-1","-1","0","0","408425337308545","0.0","-21.99","Other on-Amazon","0.0","0.0","0.0","-1","-21.99","-21.99","0","0","-21.99","0","0.0","0","0","USD","-1","0.0","285359370419580","-1","0","-21.99","-21.99","0.0","0","0","0","0.0","486906608629233","0.0","0.0","529535230681421","0.0","0.0","0.0","SpConversionFirehoseNA","2025","04","07","18"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","2bbcd03a-0856-3be1-9adb-676105148aa4","0.0","1","0.0","50.4","1","50.4","1","1","1","0.0","0.0","1","0.0","1","2025-03-10T00:00:00-07:00","50.4","1","0.0","1","1","1","1","0.0","0.0","0.0","50.4","1","1","50.4","1","0.0","0.0","0.0","0.0","0.0","1","0.0","50.4","1","1","1","1","387225901684968","0.0","50.4","Other on-Amazon","0.0","0.0","0.0","1","50.4","50.4","1","1","50.4","1","0.0","1","1","USD","1","50.4","407150875796026","1","1","50.4","50.4","0.0","1","1","1","50.4","284196352105253","0.0","50.4","335718827145460","0.0","0.0","50.4","SpConversionFirehoseNA","2025","03","10","08"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","6f890b76-e5cc-3e15-9cde-4d603bf4fe8d","0.0","0","0.0","0.0","0","0.0","0","0","0","0.0","0.0","0","0.0","1","2025-03-10T08:00:00-07:00","0.0","1","0.0","0","1","0","1","0.0","0.0","0.0","0.0","0","0","0.0","1","0.0","0.0","0.0","0.0","0.0","1","0.0","0.0","1","0","0","0","426579058137414","0.0","190.0","Detail Page on-Amazon","0.0","0.0","0.0","0","0.0","190.0","0","0","190.0","0","0.0","0","0","USD","1","0.0","476152905010736","0","0","0.0","190.0","0.0","0","0","0","0.0","486979294897033","0.0","0.0","493498317838908","0.0","0.0","0.0","SpConversionFirehoseNA","2025","03","24","17"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","2b6f5fdd-54be-3cdb-ba60-98449a3f6501","0.0","1","0.0","34.95","1","34.95","1","1","1","0.0","0.0","1","0.0","1","2025-03-10T21:00:00-07:00","34.95","1","0.0","1","1","1","1","0.0","0.0","0.0","34.95","1","1","34.95","1","0.0","0.0","0.0","0.0","0.0","1","0.0","34.95","1","1","1","1","341529632093185","0.0","34.95","Top of Search on-Amazon","0.0","0.0","0.0","1","34.95","34.95","1","1","34.95","1","0.0","1","1","USD","1","34.95","514582629296428","1","1","34.95","34.95","0.0","1","1","1","34.95","446297449266554","0.0","34.95","521103553731688","0.0","0.0","34.95","SpConversionFirehoseNA","2025","03","12","09"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","62263555-dbef-3737-8fbb-04dee1b64823","0.0","-1","0.0","-19.99","-1","-19.99","-1","-1","-1","0.0","0.0","-1","0.0","-1","2025-03-10T19:00:00-07:00","-19.99","-1","0.0","-1","-1","-1","-1","0.0","0.0","0.0","-19.99","-1","-1","-19.99","-1","0.0","0.0","0.0","0.0","0.0","-1","0.0","-19.99","-1","-1","-1","-1","336461794962230","0.0","-19.99","Other on-Amazon","0.0","0.0","0.0","-1","-19.99","-19.99","-1","-1","-19.99","-1","0.0","-1","-1","USD","-1","-19.99","349750854587294","-1","-1","-19.99","-19.99","0.0","-1","-1","-1","-19.99","371853015773578","0.0","-19.99","406100003411404","0.0","0.0","-19.99","SpConversionFirehoseNA","2025","04","09","02"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","2a4bea37-6581-3960-bae6-f93d00a8c957","0.0","0","0.0","0.0","0","0.0","1","0","1","0.0","0.0","1","0.0","1","2025-03-10T18:00:00-07:00","17.99","1","0.0","0","1","0","1","0.0","0.0","0.0","0.0","0","0","0.0","1","0.0","0.0","0.0","0.0","0.0","1","0.0","0.0","1","1","0","0","352921008428475","0.0","17.99","Other on-Amazon","0.0","0.0","0.0","0","17.99","17.99","0","0","17.99","0","0.0","0","0","USD","1","0.0","557108284426109","0","0","0.0","17.99","0.0","0","0","0","0.0","499199007513580","0.0","0.0","425196701066154","0.0","0.0","0.0","SpConversionFirehoseNA","2025","03","13","05"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","294b0703-b27d-39ef-9479-0934c26ff805","0.0","1","0.0","19.99","1","19.99","1","1","1","0.0","0.0","1","0.0","1","2025-03-10T19:00:00-07:00","19.99","1","0.0","1","1","1","1","0.0","0.0","0.0","19.99","1","1","19.99","1","0.0","0.0","0.0","0.0","0.0","1","0.0","19.99","1","1","1","1","336461794962230","0.0","19.99","Other on-Amazon","0.0","0.0","0.0","1","19.99","19.99","1","1","19.99","1","0.0","1","1","USD","1","19.99","349750854587294","1","1","19.99","19.99","0.0","1","1","1","19.99","371853015773578","0.0","19.99","406100003411404","0.0","0.0","19.99","SpConversionFirehoseNA","2025","03","11","23"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","2bd9d853-c57c-37d3-951d-3b5e4caf0586","0.0","0","0.0","0.0","1","21.99","1","0","1","0.0","0.0","1","0.0","1","2025-03-10T15:00:00-07:00","21.99","1","0.0","1","1","0","1","0.0","0.0","0.0","0.0","0","0","0.0","1","0.0","0.0","0.0","0.0","0.0","1","0.0","0.0","1","1","0","0","561162779337470","0.0","21.99","Detail Page on-Amazon","0.0","0.0","0.0","1","21.99","21.99","0","0","21.99","0","0.0","0","0","USD","1","0.0","413574952090970","1","0","21.99","21.99","0.0","0","0","0","0.0","432440828107745","0.0","0.0","536628729737909","0.0","0.0","0.0","SpConversionFirehoseNA","2025","03","11","11"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","2e53029a-9961-3a6a-b07f-4abd3575f7b6","0.0","1","0.0","36.1","1","36.1","1","1","1","0.0","0.0","1","0.0","1","2025-03-10T19:00:00-07:00","36.1","1","0.0","1","1","1","1","0.0","0.0","0.0","36.1","1","1","36.1","1","0.0","0.0","0.0","0.0","0.0","1","0.0","36.1","1","1","1","1","451170283859295","0.0","36.1","Detail Page on-Amazon","0.0","0.0","0.0","1","36.1","36.1","1","1","36.1","1","0.0","1","1","USD","1","36.1","421199272372871","1","1","36.1","36.1","0.0","1","1","1","36.1","309713218251068","0.0","36.1","427558307827991","0.0","0.0","36.1","SpConversionFirehoseNA","2025","03","11","04"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","fe677526-96b1-390e-b10d-edb476269558","0.0","0","0.0","0.0","0","0.0","0","0","0","0.0","0.0","0","0.0","0","2025-03-10T12:00:00-07:00","0.0","1","0.0","0","1","0","1","0.0","0.0","0.0","0.0","1","0","0.0","0","0.0","0.0","0.0","0.0","0.0","1","0.0","0.0","0","0","0","1","539972836150402","0.0","0.0","Top of Search on-Amazon","0.0","0.0","0.0","0","0.0","0.0","0","0","0.0","1","0.0","0","0","USD","0","0.0","317560328822743","0","0","0.0","0.0","0.0","1","0","0","0.0","331258003819203","0.0","0.0","299806511041772","0.0","0.0","0.0","SpConversionFirehoseNA","2025","03","27","01"
"A13QNOE6VGFFIN","ATVPDKIKX0DER","sp-conversion","2c5d6940-36f3-32e5-9816-539fc03e34f7","0.0","0","0.0","0.0","1","17.99","1","0","1","0.0","0.0","1","0.0","1","2025-03-10T20:00:00-07:00","17.99","1","0.0","1","1","0","1","0.0","0.0","0.0","0.0","0","0","0.0","1","0.0","0.0","0.0","0.0","0.0","1","0.0","0.0","1","1","0","0","289252548450498","0.0","17.99","Detail Page on-Amazon","0.0","0.0","0.0","1","17.99","17.99","0","0","17.99","0","0.0","0","0","USD","1","0.0","453017734840800","1","0","17.99","17.99","0.0","0","0","0","0.0","504272338352224","0.0","0.0","398295355828139","0.0","0.0","0.0","SpConversionFirehoseNA","2025","03","11","05"
